CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
180000,Man,IC,25,17,20,MA
55000,Man,IC,5,18,3,BA
77000,Man,IC,6,19,2,BA
67017,Man,IC,4,20,1,BA
90000,Man,IC,6,26,4,LT BA
58000,Man,IC,16,14,4,BA
180000,Man,Manager,40,12,38,MA
104000,Man,IC,19,13,12,LT BA
86250,Man,IC,9,16,5,BA
167000,Man,IC,11,19,8,BA
155000,Man,Manager,7,16,6,BA
45000,Man,IC,7,16,1,BA
275000,Man,Manager,25,8,16,BA
150000,Man,IC,2,33,2,BA
180000,Man,IC,20,12,13,BA
160000,Man,Manager,15,16,14,BA
185000,Man,IC,15,18,11,BA
135000,Man,IC,18,17,12,BA
55000,Man,IC,15,9,12,LT BA
115000,Man,IC,9,26,6,MA
192000,Man,IC,37,20,30,BA
115000,Man,IC,20,12,20,BA
140000,Woman,IC,15,15,9,BA
150000,Man,IC,19,13,16,BA
64500,Woman,IC,6,17,LT 1 year,BA
55000,Man,IC,6,12,1,BA
115000,Man,IC,19,5,15,LT BA
65000,Man,IC,7,15,3,LT BA
1e+05,Woman,IC,4,15,4,BA
110000,Man,IC,20,8,9,LT BA
1e+05,Man,IC,15,10,10,BA
80000,Man,IC,8,10,2,MA
52500,Man,IC,4,11,1,BA
147000,Man,IC,6,18,2,BA
72000,Man,IC,11,11,3,BA
190000,Woman,IC,5,20,2,BA
132000,Man,Manager,5,12,4,BA
175000,Man,IC,2,12,LT 1 year,BA
180000,Man,IC,25,7,15,LT BA
130000,Man,IC,12,14,7,BA
67000,Man,IC,11,30,7,BA
110000,Man,IC,21,22,20,LT BA
180000,Man,IC,6,16,1,BA
76000,Man,IC,16,12,7,BA
125000,Man,IC,5,17,4,BA
320000,Man,IC,20,10,8,BA
2e+05,Man,IC,18,15,18,MA
95000,Man,IC,13,12,11,BA
83200,Man,IC,14,14,6,BA
90000,Man,IC,16,19,10,BA
82000,Woman,IC,9,17,8,BA
260000,Man,IC,26,13,21,MA
85000,Man,IC,4,25,LT 1 year,BA
120000,Man,IC,15,5,6,LT BA
140000,Man,IC,4,25,2,MA
266000,Man,IC,14,10,12,BA
73445,Man,IC,8,16,4,BA
1e+05,Woman,IC,3,17,1,BA
125000,Man,IC,14,17,6,BA
89468,Man,IC,14,15,8,BA
95000,Man,IC,11,26,7,BA
115000,Woman,IC,21,8,13,MA
138000,Man,IC,19,8,15,BA
70000,Man,IC,4,21,2,BA
110000,Man,IC,12,15,6,BA
144000,Man,Manager,11,16,9,BA
95000,Man,IC,14,19,10,BA
172500,Man,Manager,23,16,16,BA
90000,Man,IC,10,18,6,MA
102000,Man,IC,18,12,11,BA
82000,Man,IC,8,16,3,BA
1e+05,Man,IC,10,14,5,LT BA
130000,Man,IC,16,18,13,MA
150000,Man,Manager,28,12,20,BA
99800,Woman,IC,18,22,16,MA
70000,Man,IC,10,21,5,BA
93600,Man,IC,8,15,5,BA
70000,Man,IC,5,18,LT 1 year,BA
97000,Man,IC,26,10,2,LT BA
185000,Man,IC,30,7,19,LT BA
168000,Man,IC,5,14,5,BA
75000,Man,IC,4,14,2,BA
80000,Woman,IC,20,9,5,BA
130000,Man,IC,4,25,4,BA
65000,Woman,IC,2,10,2,MA
1e+05,Man,IC,4,29,4,MA
84000,Man,IC,9,17,4,LT BA
2e+05,Man,Manager,7,16,7,BA
111000,Man,IC,15,10,10,MA
125000,Man,IC,28,12,23,BA
1e+05,Man,IC,12,17,10,MA
185000,Man,Manager,33,7,25,LT BA
132000,Man,IC,27,7,18,BA
40000,Man,IC,1,44,LT 1 year,BA
68000,Man,IC,9,17,4,BA
77000,Man,IC,6,13,LT 1 year,BA
115500,Woman,IC,10,13,6,BA
69888,Man,IC,3,16,2,LT BA
108000,Man,IC,16,16,10,BA
105000,Man,IC,30,12,20,LT BA
75000,Man,IC,15,16,5,PhD
135000,Man,IC,18,21,15,LT BA
130000,Man,IC,2,23,1,BA
52800,Man,IC,8,18,3,BA
121000,Woman,IC,13,10,LT 1 year,LT BA
160000,Man,Manager,25,11,20,BA
170000,Man,IC,12,16,8,BA
82000,Man,IC,16,11,12,BA
110000,Man,IC,18,22,14,LT BA
132000,Man,IC,8,15,3,BA
132000,Man,Manager,20,15,12,BA
137000,Man,Manager,11,20,9,BA
92000,Man,IC,6,18,3,MA
