rank,name,country,distance
1,Mauro Vinicius DA SILVA,BRA,811 
2,Marquise GOODWIN,USA,811
3,Aleksandr MENKOV,RUS,809
4,Greg RUTHERFORD,GBR,808
5,Christopher TOMLINSON,GBR,806
6,Michel TORNEUS,SWE,803
7,Godfrey Khotso MOKOENA,RSA,802
8,Will CLAYE,USA,799
9,Mitchell WATT,AUS,799
10,Tyrone SMITH,BER,797
11,Henry FRAYNE,AUS,795
12,Sebastian BAYER,GER,792
13,Christian REIF,GER,792
14,Eusebio CACERES,ESP,792
15,Aleksandr PETROV,RUS,789
16,Sergey MORGUNOV,RUS,787
17,Mohammad ARZANDEH,IRI,784
18,Ignisious GAISAH,GHA,779
19,Damar FORBES,JAM,779
20,Jinzhe LI,CHN,777
21,Raymond HIGGS,BAH,776
22,Alyn CAMARA,GER,772
23,Salim SDIRI,FRA,771
24,Ndiss Kaba BADJI,SEN,766
25,Arsen SARGSYAN,ARM,762
26,Povilas MYKOLAITIS,LTU,761
27,Stanley GBAGBEKE,NGR,759
28,Marcos CHUVA,POR,755
29,Louis TSATOUMAS,GRE,753
30,Stepan WAGNER,CZE,750
31,Viktor KUZNYETSOV,UKR,750
32,Luis RIVERA,MEX,742
33,Ching-Hsuan LIN,TPE,738
33,Supanara SUKHASVASTI N A,THA,738
35,Boleslav SKHIRTLADZE,GEO,726
36,Xiaoyi ZHANG,CHN,725
37,Mohamed Fathalla DIFALLAH,EGY,708
38,Roman NOVOTNY,CZE,696
39,George KITCHENS,USA,684
40,Vardan PAHLEVANYAN,ARM,655
