Gender	Weight	Height
Male	241.8935631804	73.8470170175
Male	162.3104725213	68.7819040459
Male	212.7408555565	74.1101053918
Male	220.0424703031	71.7309784033
Male	206.3498006239	69.8817958611
Male	152.2121557571	67.2530156878
Male	183.927888604	68.7850812517
Male	167.9711104895	68.3485155116
Male	175.9294403957	67.0189496629
Male	156.3996763871	63.4564939784
Male	186.6049255604	71.195382283
Male	213.7411694894	71.6408051192
Male	167.1274610735	64.7663291334
Male	189.4461813867	69.2830700967
Male	186.4341680212	69.2437322298
Male	172.1869300581	67.6456197004
Male	196.0285063305	72.418316626
Male	172.8834702088	63.9743257211
Male	185.9839575731	69.6400598998
Male	182.4266480132	67.936004854
Male	174.1159290814	67.9150501938
Male	197.7314216147	69.439439868
Male	149.173566008	66.1491319609
Male	228.7617806152	75.2059736142
Male	162.0066518483	67.8931963386
Male	192.3439765792	68.1440327982
Male	184.4351744084	69.0896314289
Male	206.8281894204	72.8008435165
Male	175.2139223992	67.4212422817
Male	154.342638926	68.4964153569
Male	187.5068431558	68.6181105502
Male	212.9102253255	74.0338076217
Male	195.0322432338	71.5282160356
Male	205.1836213414	69.1801610996
Male	204.1641254841	69.5772023654
Male	192.9035150746	70.4009288885
Male	197.4882425989	69.0761711675
Male	183.8109732328	67.1935232827
Male	163.8518248786	65.8073156549
Male	163.1080171476	64.3041878916
Male	172.1355974068	67.9743362272
Male	194.0454048981	72.1894259592
Male	168.6177462043	65.270345524
Male	161.1934325966	66.0901773763
Male	164.660277264	67.5103215157
Male	188.9223031513	70.1047862552
Male	187.0605521638	68.2518364409
Male	209.0708633903	72.1727091158
Male	192.014335412	69.1798576189
Male	211.3424968196	72.8703601472
Male	165.6116261823	64.782582978
Male	201.0719180996	70.1835498875
Male	173.4239603466	68.4914502529
Male	181.4076792859	67.330830881
Male	169.7377074003	66.9909440825
Male	163.3095283097	66.4995499002
Male	189.7102099425	68.3530566464
Male	192.1248473462	70.7744590704
Male	198.1984641076	71.2159236695
Male	209.5264998371	70.0133653491
Male	198.7597926599	71.4031822208
Male	198.0795236544	69.5520050948
Male	195.2906121897	73.8185345578
Male	164.943302997	66.9968827523
Male	179.8639023393	71.4184658931
Male	155.250420694	65.279300209
Male	184.5193912486	68.2741914742
Male	220.6780414653	72.7653699463
Male	183.3126553072	68.0993798003
Male	196.4513122912	68.8967060722
Male	184.5956083003	69.2895099633
Male	207.5328385185	70.5232245235
Male	177.2009287523	69.6637252265
Male	163.1080022094	67.5952688079
Male	216.2182301127	72.5081203801
Male	204.6554938223	71.2529856038
Male	200.9205712195	71.8091868894
Male	220.9017698811	72.2451654793
Male	196.4498603408	66.5126276609
Male	168.640810039	66.0290340048
Male	181.4327130081	67.5771539427
Male	198.6586733264	68.2465686016
Male	237.9167358632	73.8261270026
Male	173.0412559092	69.8024643605
Male	160.6839166399	65.9595777849
Male	188.6029190707	71.0790175757
Male	208.3456940351	66.5961965372
Male	193.4351184523	68.9515350928
Male	174.1096937906	68.2444617923
Male	197.3685892493	72.3168251228
Male	201.6206667477	71.8154204495
Male	181.0119732404	65.2370495188
Male	182.1224859787	70.6405300907
Male	177.5492634234	64.7319255973
Male	164.9745806825	67.1035511824
Male	165.7171121901	65.117484888
Male	193.0941635431	71.701234023
Male	180.6838869709	66.8328782059
Male	172.7737229284	66.4712752615
Male	177.4706162297	69.4115262206
Male	200.8187373133	70.0521774745
Male	167.7397753443	66.743604652
Male	154.3956247792	66.2743291154
Male	177.9847286039	68.3284479929
Male	183.9388569568	70.0758881952
Male	179.2047820686	68.7329881487
Male	158.5679873854	67.5560512619
Male	166.5035316429	66.2536325348
Male	171.983677612	69.1822026806
Male	174.3641823786	67.6091049416
Male	187.7453518634	69.2927380219
Male	201.4879623806	68.1906840077
Male	204.9270121368	71.6070857989
Male	178.6855464702	69.1968575103
Male	164.014427742	67.2619609791
Male	223.2700044124	73.6851934
Male	202.9583062698	69.5372150073
Male	189.3917856099	68.3115598415
Male	178.1705555785	67.7389634664
Male	223.2993352398	71.7057626011
Male	167.0287066583	63.6322646038
Male	180.4686820119	68.7211984557
Male	164.4391456224	66.9493416502
Male	149.969618421	62.7069897353
Male	192.9102665517	72.2584089236
Male	201.8839987006	70.9086530627
Male	179.8680259845	67.6098436017
Male	196.4677246739	70.8015589557
Male	187.5516494914	69.3047690451
Male	171.6931596857	66.2428983412
Male	191.6996047843	67.4921929773
